id,tributary,date,sex,length,floy_num,tag_col,PIT,site,group
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM16_0010,Middle,9/6/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0016,Middle,9/6/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0019,Middle,9/6/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0025,Middle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM16_0028,Middle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0053,Middle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0091,Grinnell,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0122,NFShoshone,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0155,NFShoshone,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0203,Eagle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0212,Eagle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0223,Eagle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_1147,Horse,9/14/2016,NA,NA,NA,NA,NA,NA,ref
EGM2018_2014,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2016,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2022,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2023,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM2018_2037,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2040,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM2018_2183,Trout Creek,9/16/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2335,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2336,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2337,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2338,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2339,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2340,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2341,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM2018_2343,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2345,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2346,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM2018_2348,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2349,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2350,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2351,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2352,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2353,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2354,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2359,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2360,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2361,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2362,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2364,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
WCR2019_0012,Middle Creek,4/24/2019,Male ,450,558,Pink,1.26057e+11,NA,3
WCR2019_0024,Trout Creek,4/27/2019,Female ,484,428,Green,1.26057e+11,NA,3
WCR2019_0033,Middle Creek,5/3/2019,Male ,482,562,Pink,1.26057e+11,NA,7
WCR2019_0036,Trout Creek,5/4/2019,Male ,424,565,Pink,1.26057e+11,NA,3
WCR2019_0054,Trout Creek,5/7/2019,Male ,350,572,Pink,1.26057e+11,NA,7
WCR2019_0057,Trout Creek,5/9/2019,Female ,478,34,Orange,1.26057e+11,NA,7
WCR2019_0075,Trout Creek,5/11/2019,Male ,465,434,Green,1.26057e+11,NA,4
